option_id,metal,experiment_no,lnQ,lnK,lnQ_minus_lnK,abs_ln_residual,gamma_H2O,gamma_Li_plus,gamma_Na_plus,gamma_OH_minus,source
package_struct_default_no_explicit_elec_model,Li,1,14.930901389721987,-19.52985865272526,34.46076004244725,34.46076004244725,1.0001038765315597,0.8311571279153406,0.7760230265753062,0.7045209005503011,Rezaee2025_SI_TablesS1_S2
package_struct_default_no_explicit_elec_model,Na,1,12.825259184071712,-27.493348310803476,40.31860749487519,40.31860749487519,1.0001038765315597,0.8311571279153406,0.7760230265753062,0.7045209005503011,Rezaee2025_SI_TablesS1_S2
package_struct_default_no_explicit_elec_model,Li,2,14.911941871289503,-19.52985865272526,34.441800524014766,34.441800524014766,1.0000959133550802,0.83111281246049,0.7760488654185115,0.7047192135209356,Rezaee2025_SI_TablesS1_S2
package_struct_default_no_explicit_elec_model,Na,2,12.82537350117631,-27.493348310803476,40.318721811979785,40.318721811979785,1.0000959133550802,0.83111281246049,0.7760488654185115,0.7047192135209356,Rezaee2025_SI_TablesS1_S2
package_struct_default_no_explicit_elec_model,Li,3,11.753378880289512,-19.52985865272526,31.28323753301477,31.28323753301477,1.0000709330924809,0.8283356787759104,0.7747848975396838,0.7059328439345748,Rezaee2025_SI_TablesS1_S2
package_struct_default_no_explicit_elec_model,Na,3,9.656620374750062,-27.493348310803476,37.14996868555354,37.14996868555354,1.0000709330924809,0.8283356787759104,0.7747848975396838,0.7059328439345748,Rezaee2025_SI_TablesS1_S2
package_struct_default_no_explicit_elec_model,Li,4,12.352053158750659,-19.52985865272526,31.881911811475916,31.881911811475916,1.0001116104660317,0.8284967708647379,0.7745928293104364,0.7049147517642966,Rezaee2025_SI_TablesS1_S2
package_struct_default_no_explicit_elec_model,Na,4,10.277665079406994,-27.493348310803476,37.77101339021047,37.77101339021047,1.0001116104660317,0.8284967708647379,0.7745928293104364,0.7049147517642966,Rezaee2025_SI_TablesS1_S2
package_struct_default_no_explicit_elec_model,Li,5,13.982944155142365,-19.52985865272526,33.51280280786762,33.51280280786762,1.0001169485417467,0.8312016094929716,0.7759572768396987,0.704202898177779,Rezaee2025_SI_TablesS1_S2
package_struct_default_no_explicit_elec_model,Na,5,10.724538332515852,-27.493348310803476,38.21788664331933,38.21788664331933,1.0001169485417467,0.8312016094929716,0.7759572768396987,0.704202898177779,Rezaee2025_SI_TablesS1_S2
package_struct_default_no_explicit_elec_model,Li,6,13.85047685433792,-19.52985865272526,33.38033550706318,33.38033550706318,1.000120240567916,0.8313802981248499,0.7760827313807016,0.7040841645993094,Rezaee2025_SI_TablesS1_S2
package_struct_default_no_explicit_elec_model,Na,6,10.852918856540143,-27.493348310803476,38.34626716734362,38.34626716734362,1.000120240567916,0.8313802981248499,0.7760827313807016,0.7040841645993094,Rezaee2025_SI_TablesS1_S2
package_struct_default_no_explicit_elec_model,Li,7,11.063754363428412,-19.52985865272526,30.59361301615367,30.59361301615367,1.0001164532858706,0.8287029772398592,0.7747288638332785,0.7047507042929129,Rezaee2025_SI_TablesS1_S2
