experiment_no,mode,T_C,pH,topo_wt_pct,na_li_mass_ratio,initial_Li_mol,initial_Na_mol,initial_OH_mol_from_pH,initial_DES_mol,oh_limited_max_li_plus_na_extraction_mol,li_extraction_pct_calc,na_extraction_pct_calc,li_extraction_pct_exp,na_extraction_pct_exp,li_abs_pct_error,na_abs_pct_error,selectivity_calc,selectivity_exp,converged,iterations,final_extent_delta,source
20,ideal,30.0,11.0,30.0,15.0,0.1440922190201729,0.6524641461164746,0.001,3.3738191632928474,0.001,3.4719191068156265e-10,7.663263010612482e-11,39.9,11.32,39.899999999652806,11.319999999923368,4.530601523146907,3.52,True,1,9.999991286629523e-13,Rezaee2025_Table5
21,ideal,30.0,10.0,10.0,15.0,0.1440922190201729,0.6524641461164746,0.0001,4.3377674956622325,0.0001,3.470246750427914e-10,7.663257191868916e-11,38.01,9.79,38.009999999652976,9.789999999923367,4.528422658331254,3.88,True,1,9.999998879672629e-13,Rezaee2025_Table5
22,ideal,30.0,10.0,50.0,15.0,0.1440922190201729,0.6524641461164746,0.0001,2.4098708309234627,0.0001,3.4701370835710635e-10,7.663256810297546e-11,38.91,11.58,38.90999999965298,11.579999999923368,4.528279776436627,3.36,True,1,9.999999377595905e-13,Rezaee2025_Table5
23,ideal,30.0,10.0,30.0,5.0,0.1440922190201729,0.21748804870549157,0.0001,3.3738191632928474,0.0001,3.4701851120776087e-10,2.2989769644073066e-10,36.47,11.76,36.46999999965298,11.759999999770102,1.5094475350570762,3.1,True,1,9.99999971984361e-13,Rezaee2025_Table5
24,ideal,30.0,10.0,30.0,25.0,0.1440922190201729,1.087440243527458,0.0001,3.3738191632928474,0.0001,3.4701991324467315e-10,4.5979544928550945e-11,30.1,7.85,30.099999999652983,7.84999999995402,7.547267242072932,3.83,True,1,9.999998493122974e-13,Rezaee2025_Table5
25,ideal,30.0,10.0,30.0,15.0,0.1440922190201729,0.6524641461164746,0.0001,3.3738191632928474,0.0001,3.4701919169994887e-10,7.663257001083231e-11,31.83,8.55,31.82999999965298,8.549999999923369,4.528351217385719,3.72,True,1,9.999999128634267e-13,Rezaee2025_Table5
26,ideal,30.0,10.0,30.0,15.0,0.1440922190201729,0.6524641461164746,0.0001,3.3738191632928474,0.0001,3.4701919169994887e-10,7.663257001083231e-11,31.65,8.22,31.64999999965298,8.219999999923369,4.528351217385719,3.85,True,1,9.999999128634267e-13,Rezaee2025_Table5
1,package_struct_default_no_explicit_elec_model,25.0,9.5,20.0,10.0,0.1440922190201729,0.43497609741098314,3.1622776601683795e-05,3.85579332947754,3.1622776601683795e-05,3.470108460121529e-10,1.1494887652201643e-10,29.69,8.32,29.68999999965299,8.319999999885052,3.018827643310538,3.57,True,1,9.999997257735262e-13,Rezaee2025_Table5
2,package_struct_default_no_explicit_elec_model,35.0,9.5,20.0,10.0,0.1440922190201729,0.43497609741098314,3.1622776601683795e-05,3.85579332947754,3.1622776601683795e-05,3.4701115336606254e-10,1.1494887749486198e-10,34.01,12.93,34.00999999965299,12.929999999885052,3.018830291592655,2.63,True,1,9.999997173102348e-13,Rezaee2025_Table5
3,package_struct_default_no_explicit_elec_model,25.0,10.5,20.0,10.0,0.1440922190201729,0.43497609741098314,0.00031622776601683794,3.85579332947754,0.00031622776601683794,3.471084700319739e-10,1.1494916023473157e-10,41.35,11.14,41.349999999652894,11.13999999988505,3.0196694723403126,3.71,True,1,9.999972576085337e-13,Rezaee2025_Table5
