source_key,source_file,artifact_type,stage,li_extraction_stage_pct,li_extraction_cumulative_pct,na_extraction_stage_pct,na_extraction_cumulative_pct,di,selectivity_li_na,li_raffinate_mg_L,na_raffinate_mg_L,li_feed_mg_L,na_feed_mg_L,commentary
JUNBXVTI_nominal_one_stage,data\multiphase\gando_2025_one_stage_assets\gando_2025_one_stage_nominal.csv,one_stage,1,52.00472287377231,52.004722873772316,0.906746516991823,0.906746516991819,1.0835383393453435,118.41384257588953,28.79716627573661,10801.164629647892,60,10900.0,Nominal one-stage snapshot using the repo showcase configuration.
JUNBXVTI_table4_stage1,data\multiphase\gando_2025_slide_assets\gando_2025_stage_summary.csv,three_stage,1,52.00472287377231,52.004722873772316,0.906746516991823,0.9067465169918187,1.0835383393453435,118.41384257588953,28.79716627573661,10801.164629647892,59.99999999999999,10900.0,Stage 1 cumulative and stage outputs from the repo-generated comparison table.
JUNBXVTI_table4_stage2,data\multiphase\gando_2025_slide_assets\gando_2025_stage_summary.csv,three_stage,2,68.43420277233993,84.84990814348144,1.2020863377403594,2.0979329787334855,2.167985882909153,178.1839418317389,9.09005511391113,10671.325305318049,28.79716627573661,10801.164629647892,Stage 2 cumulative and stage outputs from the repo-generated comparison table.
JUNBXVTI_table4_stage3,data\multiphase\gando_2025_slide_assets\gando_2025_stage_summary.csv,three_stage,3,85.4948314002328,97.80245363319239,1.5165969043779775,3.5827126965000677,5.894094288680309,382.74538345690655,1.3185278200845698,10509.484316081493,9.09005511391113,10671.325305318049,Stage 3 cumulative and stage outputs from the repo-generated comparison table.
