case_id,basis_type,site_id,oa_ratio,stage,stage_count,Li_feed_mg_L,Na_feed_mg_L,Cl_feed_mg_L,TDS_mg_L,li_stage_extraction_pct,na_stage_extraction_pct,li_cumulative_extraction_pct,na_cumulative_extraction_pct,D_Li,D_Na,S_Li_Na,Li_raffinate_mg_L,Na_raffinate_mg_L,Li_extract_mg_L_org,Na_extract_mg_L_org,HBTA_consumed_mol_L_org,TOPO_consumed_mol_L_org,gamma_Li,gamma_Na,gamma_source,trust_label,model_status
smackover_clean_min_observed,observed_clean_usgs_row,SH-2,0.5,1,3,11.7,37100.0,89100.0,156000.0,80.66586527206651,0.03695265861738211,80.66586527206651,0.03695265861737296,8.344398795930848,0.0007393263730983613,11286.488754568876,2.262093763168218,37086.290563652954,18.87581247366356,27.418872694097523,0.005439715410277683,0.0027198577051388414,0.8045331155332969,0.7071224718075109,epcsaft_from_local_runtime_params,calibrated_reactive_extrapolated_to_smackover,calibrated_reactive_hbta_topo_not_full_predictive_epcsaft
smackover_clean_min_observed,observed_clean_usgs_row,SH-2,0.5,2,3,11.7,37100.0,89100.0,156000.0,96.73096127866529,0.044328068024006594,99.36795964930883,0.08126434624172729,59.18006455376023,0.0008869545302876597,66722.77161103938,0.07394872103086678,37069.850927544314,4.376290084274702,32.87927221727364,0.0012611786986382427,0.0006305893493191213,0.8041823307239715,0.7068839378299702,epcsaft_from_local_runtime_params,outside_literature_capacity_envelope_near_total_transfer,calibrated_reactive_hbta_topo_not_full_predictive_epcsaft
smackover_clean_min_observed,observed_clean_usgs_row,SH-2,0.5,3,3,11.7,37100.0,89100.0,156000.0,99.99990000000001,0.04647751480522752,99.99999936795965,0.12770409139840622,1999998.0000937127,0.0009299825288720929,2150575885.0323377,7.39487210274018e-08,37052.62178209119,0.14789729416429148,34.45829090625036,4.262169860642406e-05,2.131084930321203e-05,0.8040141006052189,0.7067722446172395,epcsaft_from_local_runtime_params,outside_literature_capacity_envelope_near_total_transfer,calibrated_reactive_hbta_topo_not_full_predictive_epcsaft
smackover_clean_min_observed,observed_clean_usgs_row,SH-2,1.0,1,3,11.7,37100.0,89100.0,156000.0,99.99989999999998,0.08121677425205567,99.99989999999998,0.08121677425205753,999998.9999084531,0.000812827895117192,1230271507.5548375,1.1700000001071097e-05,37069.86857675249,11.699988299999998,30.131423247512657,0.00337175455331412,0.00168587727665706,0.8045331155332969,0.7071224718075109,epcsaft_from_local_runtime_params,outside_literature_capacity_envelope_near_total_transfer,calibrated_reactive_hbta_topo_not_full_predictive_epcsaft
smackover_clean_min_observed,observed_clean_usgs_row,SH-2,1.0,2,3,11.7,37100.0,89100.0,156000.0,99.9999,0.09310549728224955,99.9999999999,0.1742466542527632,999998.9999958314,0.0009319226440345097,1073049363.4821484,1.1700000001119869e-11,37035.35449127222,1.1699988301071095e-05,34.51408548026177,3.371754553622794e-09,1.685877276811397e-09,0.8040121734472204,0.706770908469741,epcsaft_from_local_runtime_params,outside_literature_capacity_envelope_near_total_transfer,calibrated_reactive_hbta_topo_not_full_predictive_epcsaft
smackover_clean_min_observed,observed_clean_usgs_row,SH-2,1.0,3,3,11.7,37100.0,89100.0,156000.0,99.9999,0.09309825581140752,100.0,0.2671826894682594,999998.9999885303,0.0009318500942986442,1073132906.3621315,1.1700000001254065e-17,37000.87522220727,1.1699988301119869e-11,34.479269064946216,3.3717545536368495e-15,1.6858772768184248e-15,0.8037859867344077,0.7066241379429041,epcsaft_from_local_runtime_params,outside_literature_capacity_envelope_near_total_transfer,calibrated_reactive_hbta_topo_not_full_predictive_epcsaft
smackover_clean_min_observed,observed_clean_usgs_row,SH-2,1.5,1,3,11.7,37100.0,89100.0,156000.0,99.99989999999998,0.12778572837972657,99.99989999999998,0.12778572837972568,666665.9999389687,0.000852994861561732,781559221.4921231,1.1700000001071097e-05,37052.59149477112,7.7999921999999975,31.605670152585706,0.00224783636887608,0.00112391818443804,0.8045331155332969,0.7071224718075109,epcsaft_from_local_runtime_params,outside_literature_capacity_envelope_near_total_transfer,calibrated_reactive_hbta_topo_not_full_predictive_epcsaft
smackover_clean_min_observed,observed_clean_usgs_row,SH-2,1.5,2,3,11.7,37100.0,89100.0,156000.0,99.9999,0.13965280583074985,99.9999999999,0.2672600778553469,666665.9999972209,0.0009323207175797739,715060801.9607563,1.1700000001119869e-11,37000.84651111567,7.799992200714064e-06,34.49665577030243,2.2478363690818627e-09,1.1239181845409314e-09,0.8038989400288485,0.7066974333292123,epcsaft_from_local_runtime_params,outside_literature_capacity_envelope_near_total_transfer,calibrated_reactive_hbta_topo_not_full_predictive_epcsaft
smackover_clean_min_observed,observed_clean_usgs_row,SH-2,1.5,3,3,11.7,37100.0,89100.0,156000.0,99.9999,0.13963650328106889,100.0,0.406523388509028,666665.9999923536,0.0009322117297363723,715144401.9921155,1.1700000001254065e-17,36949.17982286315,7.79999220074658e-12,34.444458835011524,2.247836369091233e-15,1.1239181845456166e-15,0.8035599113423559,0.7064774316234885,epcsaft_from_local_runtime_params,outside_literature_capacity_envelope_near_total_transfer,calibrated_reactive_hbta_topo_not_full_predictive_epcsaft
smackover_clean_median_tds_proxy,observed_clean_usgs_row,MS-2,0.5,1,3,168.0,64100.0,174000.0,305000.0,23.6423042926127,0.006555902937429499,23.642304292612703,0.006555902937432911,0.6192513818964133,0.00013112665528483555,4722.543868378743,128.28092878841065,64095.79766621709,79.43814242317868,8.404667565784615,0.0228928364331927,0.01144641821659635,1.0744302635536314,0.8544155472100267,epcsaft_from_local_runtime_params,calibrated_reactive_extrapolated_to_smackover,calibrated_reactive_hbta_topo_not_full_predictive_epcsaft
