scenario,case_id,framework,feed_flow_m3_day,Li_feed_mg_L,TDS_feature_mg_L,organic_to_aqueous_mass_ratio,Li_recovery_pct,Li2CO3_product_kg_year,gross_revenue_usd_year,total_opex_usd_year,annualized_capex_usd_year,installed_contactor_capex_usd,total_annualized_cost_usd_year,net_before_tax_usd_year,revenue_price_usd_kg,breakeven_li2co3_price_usd_kg,margin_usd_kg,status
stress,corner_high_tds_low_li_low_oa,idaes_pyomo_flowsheet_block_mscontactor_scaffold,1000.0,100.0,340000.0,0.5,60.13040663907672,106702.59070528379,1280431.0884634054,751838.0646009155,165272.92909585638,826364.6454792819,917110.9936967719,363320.09476663347,12.0,8.59502086720522,3.4049791327947805,synthetic_scaffold_for_prommis_idaes_readiness
base,nominal_ms2_clean_li_na,idaes_pyomo_flowsheet_block_mscontactor_scaffold,1000.0,168.0,305000.0,1.0,82.8518391777153,246997.32991794773,4939946.598358954,1322741.32223333,206591.16136982047,1032955.8068491024,1529332.4836031506,3410614.1147558037,20.0,6.191696420812295,13.808303579187704,synthetic_scaffold_for_prommis_idaes_readiness
favorable,corner_low_tds_high_li_high_oa,idaes_pyomo_flowsheet_block_mscontactor_scaffold,1000.0,300.0,152500.0,1.5,93.22113568367948,496268.2231125908,17369387.808940675,2202871.72511592,247909.39364378457,1239546.9682189228,2450781.1187597048,14918606.69018097,34.99999999999999,4.938420403765575,30.061579596234417,synthetic_scaffold_for_prommis_idaes_readiness
