parameter,estimate,approx_standard_error,uncertainty_method,status
log10_beta_li,1.7005825170001887,4.7391972572492085,local_least_squares_jacobian_pseudoinverse,approximate_because_targets_are_literature_anchors_not_raw_replicates
log10_beta_na,-0.9473818975570434,0.045255129841020196,local_least_squares_jacobian_pseudoinverse,approximate_because_targets_are_literature_anchors_not_raw_replicates
log10_capacity_factor,0.24457360384703203,0.027538503301527236,local_least_squares_jacobian_pseudoinverse,approximate_because_targets_are_literature_anchors_not_raw_replicates
saltout_gain,1.0265837671473417,22.304138521833735,local_least_squares_jacobian_pseudoinverse,approximate_because_targets_are_literature_anchors_not_raw_replicates
