scenario,case_id,feed_flow_m3_day,operating_hours_year,Li_feed_mg_L,TDS_feature_mg_L,organic_to_aqueous_mass_ratio,Li_recovery_pct_used_for_costing,Li_feed_kg_year,Li_recovered_kg_year,Li2CO3_product_t_year,Li2CO3_price_usd_t_assumption,gross_revenue_usd_year,pretreatment_opex_usd_year,extraction_opex_usd_year,concentration_precip_opex_usd_year,solvent_makeup_opex_usd_year,installed_contactor_capex_usd,annualized_capex_usd_year,total_annual_cost_usd_year,net_before_tax_usd_year,costing_status
stress,corner_high_tds_low_li_low_oa,1000.0,8000.0,100.0,340000.0,0.5,25.03680371016449,33333.33333333333,8345.601236721495,44.428301223529395,12000.0,533139.6146823528,130054.64480874315,238333.33333333334,144391.97897647053,36666.666666666664,826364.6454792819,165272.92909585638,714719.5528810701,-181579.9381987173,calibrated_rezaee_distribution_surrogate_for_prommis_idaes_readiness
base,nominal_ms2_clean_li_na,1000.0,8000.0,168.0,305000.0,1.0,47.8497739208126,56000.0,26795.873395655057,142.64941506328154,20000.0,2852988.301265631,116666.66666666666,330000.0,463610.598955665,73333.33333333333,1032955.8068491024,206591.16136982047,1190201.7603254854,1662786.5409401455,calibrated_rezaee_distribution_surrogate_for_prommis_idaes_readiness
favorable,corner_low_tds_high_li_high_oa,1000.0,8000.0,300.0,152500.0,1.5,71.96809003234706,100000.0,71968.09003234707,383.1263790043341,35000.0,13409423.265151694,58333.33333333333,421666.6666666666,1245160.7317640858,110000.0,1239546.9682189228,247909.39364378457,2083070.1254078704,11326353.139743824,calibrated_rezaee_distribution_surrogate_for_prommis_idaes_readiness
