scenario,feed_flow_m3_day,Li_feed_mg_L,TDS_mg_L,Li_recovery_pct_used_for_costing,Li2CO3_product_t_year,gross_revenue_usd_year,pretreatment_opex_usd_year,extraction_opex_usd_year,concentration_precip_opex_usd_year,solvent_makeup_opex_usd_year,installed_contactor_capex_usd,annualized_capex_usd_year
low,100.0,168.0,305000.0,97.17,28.968253193083576,347619.03831700294,66666.66666666667,100000.0,200000.0,16666.666666666668,1125000.0,225000.0
base,1000.0,168.0,305000.0,97.17,289.6825319308357,5793650.638616714,1666666.6666666665,1000000.0,2000000.0,666666.6666666666,15000000.0,3000000.0
high,10000.0,168.0,305000.0,97.17,2896.8253193083574,101388886.1757925,33333333.333333336,10000000.0,20000000.0,20000000.0,225000000.0,45000000.0
