stage,paper_li_cumulative_pct,calc_li_stage_pct,calc_li_cumulative_pct,calc_na_stage_pct,calc_na_cumulative_pct,calc_li_distribution_ratio,calc_li_na_selectivity,li_feed_mg_L,li_raffinate_mg_L,na_feed_mg_L,na_raffinate_mg_L
1,54.95,52.00472287377231,52.004722873772316,0.906746516991823,0.9067465169918187,1.0835383393453435,118.41384257588953,59.99999999999999,28.79716627573661,10900.0,10801.164629647892
2,85.6,68.43420277233993,84.84990814348144,1.2020863377403594,2.0979329787334855,2.167985882909153,178.1839418317389,28.79716627573661,9.09005511391113,10801.164629647892,10671.325305318049
3,97.17,85.4948314002328,97.80245363319239,1.5165969043779775,3.5827126965000677,5.894094288680309,382.74538345690655,9.09005511391113,1.3185278200845698,10671.325305318049,10509.484316081493
