section,na_mg_L,paper_li_stage_pct,calc_li_stage_pct,calc_na_stage_pct,calc_li_distribution_ratio,calc_li_na_selectivity,saltout_factor,stage,paper_li_cumulative_pct,calc_li_cumulative_pct,calc_na_cumulative_pct
na_sweep,0.0,49.82,49.822549087116066,0.0,0.992927065458466,9.929270654584658e+29,1.0,,,,
na_sweep,2000.0,nan,51.30657567723018,2.7739420535585135,1.0536653848194941,36.93073964151529,1.934951149656202,,,,
na_sweep,4000.0,nan,51.76626412568373,1.8923034207993923,1.0732377077440622,55.64270414108901,2.861873343081716,,,,
na_sweep,6000.0,nan,51.94584034151708,1.4373070827862917,1.0809853030558028,74.12808560476012,3.780903305382819,,,,
na_sweep,8000.0,nan,52.00953370088612,1.1595865883775553,1.0837472046369019,92.37604402606674,4.69217429869251,,,,
na_sweep,10900.0,51.82,52.00472287377231,0.906746516991823,1.0835383393453435,118.41384257588953,6.0,,,,
three_stage,,,52.00472287377231,0.906746516991823,1.0835383393453435,118.41384257588953,,1,54.95,52.004722873772316,0.9067465169918187
three_stage,,,68.43420277233993,1.2020863377403594,2.167985882909153,178.1839418317389,,2,85.6,84.84990814348144,2.0979329787334855
three_stage,,,85.4948314002328,1.5165969043779775,5.894094288680309,382.74538345690655,,3,97.17,97.80245363319239,3.5827126965000677
