model,avgLi_mgL,porosity_perc,avgVol_L,sumVol_L,sumLi_ton,sumLi_LCE,sumLi_ton_ext,perc_ext
low,96.0,10,25925574422.0,65436149842170.0,5079600.0,27037289.0,4454.0,0.0877
median,107.0,10,25925574422.0,65436149842170.0,5659046.0,30121518.0,4854.0,0.0858
high,119.0,10,25925574422.0,65436149842170.0,6346850.0,33782506.0,5142.0,0.081
low,96.0,20,51851148845.0,130872299684340.0,10159251.0,54074849.0,4454.0,0.0438
median,107.0,20,51851148845.0,130872299684340.0,11318086.0,60243003.0,4854.0,0.0429
high,119.0,20,51851148845.0,130872299684340.0,12693716.0,67565097.0,5142.0,0.0405
low,96.0,30,77776723267.0,196308449526510.0,15238848.0,81112122.0,4454.0,0.0292
median,107.0,30,77776723267.0,196308449526510.0,16977164.0,90364692.0,4854.0,0.0286
high,119.0,30,77776723267.0,196308449526510.0,19040582.0,101347688.0,5142.0,0.027
