stage,paper_li_cumulative_pct,calc_li_stage_pct,calc_li_cumulative_pct,calc_na_stage_pct,calc_na_cumulative_pct,calc_li_distribution_ratio,calc_li_na_selectivity
1,54.95,52.00472287377231,52.004722873772316,0.906746516991823,0.9067465169918187,1.0835383393453435,118.41384257588953
2,85.6,68.43420277233993,84.84990814348144,1.2020863377403594,2.0979329787334855,2.167985882909153,178.1839418317389
3,97.17,85.4948314002328,97.80245363319239,1.5165969043779775,3.5827126965000677,5.894094288680309,382.74538345690655
